ind,year,p
        Administrative and waste management services,2013,101.65
        Administrative and waste management services,2014,103.636
        Administrative and waste management services,2015,106.525
        Administrative and waste management services,2016,110.056
        Administrative and waste management services,2017,111.521
        Administrative and waste management services,2018,112.773
        Administrative and waste management services,2019,115.672
        Administrative and waste management services,2020,118.513
            Administrative and support services,2010,98.625
            Administrative and support services,2011,98.938
            Administrative and support services,2012,100.0
            Administrative and support services,2013,101.555
            Administrative and support services,2014,103.378
            Administrative and support services,2015,106.272
            Administrative and support services,2016,109.666
            Administrative and support services,2017,111.003
            Administrative and support services,2018,111.842
            Administrative and support services,2019,114.577
            Administrative and support services,2020,116.987
            Waste management and remediation services,2010,96.321
            Waste management and remediation services,2011,98.161
            Waste management and remediation services,2012,100.0
            Waste management and remediation services,2013,102.622
            Waste management and remediation services,2014,106.316
            Waste management and remediation services,2015,109.15
            Waste management and remediation services,2016,114.167
            Waste management and remediation services,2017,117.02
            Waste management and remediation services,2018,122.783
            Waste management and remediation services,2019,127.52
            Waste management and remediation services,2020,135.282
"    Educational services, health care, and social assistance",2010,96.273
"    Educational services, health care, and social assistance",2011,97.838
"    Educational services, health care, and social assistance",2012,100.0
"    Educational services, health care, and social assistance",2013,101.539
"    Educational services, health care, and social assistance",2014,102.783
"    Educational services, health care, and social assistance",2015,104.279
"    Educational services, health care, and social assistance",2016,106.667
"    Educational services, health care, and social assistance",2017,108.496
"    Educational services, health care, and social assistance",2018,110.092
"    Educational services, health care, and social assistance",2019,112.302
"    Educational services, health care, and social assistance",2020,115.262
        Educational services,2010,93.789
        Educational services,2011,96.543
        Educational services,2012,100.0
        Educational services,2013,103.314
        Educational services,2014,106.214
        Educational services,2015,108.747
        Educational services,2016,111.635
        Educational services,2017,114.65
        Educational services,2018,117.263
        Educational services,2019,120.18
        Educational services,2020,123.787
        Health care and social assistance,2010,96.725
        Health care and social assistance,2011,98.073
        Health care and social assistance,2012,100.0
        Health care and social assistance,2013,101.226
        Health care and social assistance,2014,102.185
        Health care and social assistance,2015,103.505
        Health care and social assistance,2016,105.809
        Health care and social assistance,2017,107.445
        Health care and social assistance,2018,108.876
        Health care and social assistance,2019,110.973
        Health care and social assistance,2020,113.83
            Ambulatory health care services,2010,97.44
            Ambulatory health care services,2011,98.563
            Ambulatory health care services,2012,100.0
            Ambulatory health care services,2013,100.39
            Ambulatory health care services,2014,100.881
            Ambulatory health care services,2015,100.449
            Ambulatory health care services,2016,101.363
            Ambulatory health care services,2017,101.912
            Ambulatory health care services,2018,102.232
            Ambulatory health care services,2019,103.038
            Ambulatory health care services,2020,104.666
            Hospitals,2010,95.975
            Hospitals,2011,97.371
            Hospitals,2012,100.0
            Hospitals,2013,101.998
            Hospitals,2014,103.427
            Hospitals,2015,106.312
            Hospitals,2016,109.719
            Hospitals,2017,112.164
            Hospitals,2018,114.288
            Hospitals,2019,117.373
            Hospitals,2020,120.203
            Nursing and residential care facilities,2010,96.712
            Nursing and residential care facilities,2011,98.359
            Nursing and residential care facilities,2012,100.0
            Nursing and residential care facilities,2013,100.923
            Nursing and residential care facilities,2014,101.526
            Nursing and residential care facilities,2015,104.44
            Nursing and residential care facilities,2016,108.621
            Nursing and residential care facilities,2017,111.75
            Nursing and residential care facilities,2018,115.55
            Nursing and residential care facilities,2019,119.964
            Nursing and residential care facilities,2020,126.295
            Social assistance,2010,95.59
            Social assistance,2011,97.67
            Social assistance,2012,100.0
            Social assistance,2013,103.482
            Social assistance,2014,105.831
            Social assistance,2015,109.551
            Social assistance,2016,113.828
            Social assistance,2017,117.388
            Social assistance,2018,120.475
            Social assistance,2019,124.455
            Social assistance,2020,131.44
"    Arts, entertainment, recreation, accommodation, and food services",2010,94.857
"    Arts, entertainment, recreation, accommodation, and food services",2011,95.798
"    Arts, entertainment, recreation, accommodation, and food services",2012,100.0
"    Arts, entertainment, recreation, accommodation, and food services",2013,102.64
"    Arts, entertainment, recreation, accommodation, and food services",2014,105.075
"    Arts, entertainment, recreation, accommodation, and food services",2015,110.036
"    Arts, entertainment, recreation, accommodation, and food services",2016,114.442
"    Arts, entertainment, recreation, accommodation, and food services",2017,117.025
"    Arts, entertainment, recreation, accommodation, and food services",2018,120.703
"    Arts, entertainment, recreation, accommodation, and food services",2019,124.39
"    Arts, entertainment, recreation, accommodation, and food services",2020,130.193
"        Arts, entertainment, and recreation",2010,95.759
"        Arts, entertainment, and recreation",2011,96.898
"        Arts, entertainment, and recreation",2012,100.0
"        Arts, entertainment, and recreation",2013,101.633
"        Arts, entertainment, and recreation",2014,103.639
"        Arts, entertainment, and recreation",2015,107.879
"        Arts, entertainment, and recreation",2016,111.589
"        Arts, entertainment, and recreation",2017,113.022
"        Arts, entertainment, and recreation",2018,115.327
"        Arts, entertainment, and recreation",2019,117.975
"        Arts, entertainment, and recreation",2020,123.706
"            Performing arts, spectator sports, museums, and related activities",2010,97.136
"            Performing arts, spectator sports, museums, and related activities",2011,97.697
"            Performing arts, spectator sports, museums, and related activities",2012,100.0
"            Performing arts, spectator sports, museums, and related activities",2013,101.624
"            Performing arts, spectator sports, museums, and related activities",2014,103.759
"            Performing arts, spectator sports, museums, and related activities",2015,108.062
"            Performing arts, spectator sports, museums, and related activities",2016,112.122
"            Performing arts, spectator sports, museums, and related activities",2017,114.466
"            Performing arts, spectator sports, museums, and related activities",2018,116.232
"            Performing arts, spectator sports, museums, and related activities",2019,118.18
"            Performing arts, spectator sports, museums, and related activities",2020,122.9
"            Amusements, gambling, and recreation industries",2010,93.848
"            Amusements, gambling, and recreation industries",2011,95.766
"            Amusements, gambling, and recreation industries",2012,100.0
"            Amusements, gambling, and recreation industries",2013,101.645
"            Amusements, gambling, and recreation industries",2014,103.466
"            Amusements, gambling, and recreation industries",2015,107.617
"            Amusements, gambling, and recreation industries",2016,110.836
"            Amusements, gambling, and recreation industries",2017,110.961
"            Amusements, gambling, and recreation industries",2018,114.062
"            Amusements, gambling, and recreation industries",2019,117.766
"            Amusements, gambling, and recreation industries",2020,124.916
        Accommodation and food services,2010,94.518
        Accommodation and food services,2011,95.384
        Accommodation and food services,2012,100.0
        Accommodation and food services,2013,103.024
        Accommodation and food services,2014,105.621
        Accommodation and food services,2015,110.851
        Accommodation and food services,2016,115.511
        Accommodation and food services,2017,118.521
        Accommodation and food services,2018,122.716
        Accommodation and food services,2019,126.802
        Accommodation and food services,2020,132.623
            Accommodation,2010,94.357
            Accommodation,2011,95.908
            Accommodation,2012,100.0
            Accommodation,2013,102.729
            Accommodation,2014,106.219
            Accommodation,2015,109.761
            Accommodation,2016,113.5
            Accommodation,2017,116.349
            Accommodation,2018,121.789
            Accommodation,2019,125.202
            Accommodation,2020,116.573
            Food services and drinking places,2010,94.577
            Food services and drinking places,2011,95.174
            Food services and drinking places,2012,100.0
            Food services and drinking places,2013,103.143
            Food services and drinking places,2014,105.383
            Food services and drinking places,2015,111.287
            Food services and drinking places,2016,116.312
            Food services and drinking places,2017,119.384
            Food services and drinking places,2018,123.099
            Food services and drinking places,2019,127.444
            Food services and drinking places,2020,138.588
"    Other services, except government",2010,94.807
"    Other services, except government",2011,97.153
"    Other services, except government",2012,100.0
"    Other services, except government",2013,103.169
"    Other services, except government",2014,105.933
"    Other services, except government",2015,109.483
"    Other services, except government",2016,112.865
"    Other services, except government",2017,115.814
"    Other services, except government",2018,118.359
"    Other services, except government",2019,123.195
"    Other services, except government",2020,129.729
Government,2010,96.575
Government,2011,98.22
Government,2012,100.0
Government,2013,103.181
Government,2014,106.157
Government,2015,109.208
Government,2016,110.208
Government,2017,112.013
Government,2018,115.582
Government,2019,118.298
Government,2020,121.641
    Federal,2010,97.353
    Federal,2011,99.27
    Federal,2012,100.0
    Federal,2013,100.938
    Federal,2014,103.289
    Federal,2015,105.368
    Federal,2016,106.146
    Federal,2017,108.081
    Federal,2018,111.31
    Federal,2019,113.641
    Federal,2020,115.532
        General government,2010,97.257
        General government,2011,99.32
        General government,2012,100.0
        General government,2013,100.987
        General government,2014,103.08
        General government,2015,104.852
        General government,2016,105.96
        General government,2017,108.206
        General government,2018,111.776
        General government,2019,114.174
        General government,2020,116.022
            National defense,2010,96.958
            National defense,2011,98.973
            National defense,2012,100.0
            National defense,2013,100.41
            National defense,2014,102.169
            National defense,2015,103.868
            National defense,2016,104.743
            National defense,2017,106.39
            National defense,2018,109.594
            National defense,2019,111.734
            National defense,2020,113.955
            Nondefense,2010,97.737
            Nondefense,2011,99.877
            Nondefense,2012,100.0
            Nondefense,2013,101.9
            Nondefense,2014,104.512
            Nondefense,2015,106.395
            Nondefense,2016,107.846
            Nondefense,2017,110.952
            Nondefense,2018,115.049
            Nondefense,2019,117.818
            Nondefense,2020,119.144
        Government enterprises,2010,98.459
        Government enterprises,2011,98.647
        Government enterprises,2012,100.0
        Government enterprises,2013,100.265
        Government enterprises,2014,106.283
        Government enterprises,2015,112.444
        Government enterprises,2016,109.189
        Government enterprises,2017,107.549
        Government enterprises,2018,107.034
        Government enterprises,2019,108.634
        Government enterprises,2020,111.018
    State and local,2010,96.19
    State and local,2011,97.701
    State and local,2012,100.0
    State and local,2013,104.276
    State and local,2014,107.552
    State and local,2015,111.07
    State and local,2016,112.176
    State and local,2017,113.92
    State and local,2018,117.651
    State and local,2019,120.551
    State and local,2020,124.604
        General government,2010,96.146
        General government,2011,97.775
        General government,2012,100.0
        General government,2013,104.327
        General government,2014,107.276
        General government,2015,109.974
        General government,2016,111.055
        General government,2017,113.107
        General government,2018,116.899
        General government,2019,119.255
        General government,2020,123.395
        Government enterprises,2010,96.812
        Government enterprises,2011,96.864
        Government enterprises,2012,100.0
        Government enterprises,2013,103.718
        Government enterprises,2014,110.523
        Government enterprises,2015,123.408
        Government enterprises,2016,124.802
        Government enterprises,2017,122.927
        Government enterprises,2018,125.949
        Government enterprises,2019,135.262
        Government enterprises,2020,138.107
